Player,Tm,Opp,Res,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Data,Win,GameKey,PTS_per_min,TRB_per_min,AST_per_min
Jayson Tatum,BOS,NYK,W,30.3,14,18,0.778,8,11,0.727,1,2,0.5,0,4,4,10,1,1,1,1,37,38.1,2024-10-22,1,2024-10-22_BOS_vs_NYK,1.221122112211221,0.132013201320132,0.33003300330033003
Anthony Davis,LAL,MIN,W,37.58,11,23,0.478,1,3,0.333,13,15,0.867,3,13,16,4,1,3,1,1,36,34.0,2024-10-22,1,2024-10-22_LAL_vs_MIN,0.9579563597658329,0.425758382118148,0.106439595529537
Derrick White,BOS,NYK,W,26.63,8,13,0.615,6,10,0.6,2,2,1.0,0,3,3,4,1,0,0,1,24,22.4,2024-10-22,1,2024-10-22_BOS_vs_NYK,0.9012392039053699,0.11265490048817124,0.1502065339842283
Jrue Holiday,BOS,NYK,W,30.52,7,9,0.778,4,6,0.667,0,0,0.0,2,2,4,4,1,0,0,2,18,19.5,2024-10-22,1,2024-10-22_BOS_vs_NYK,0.5897771952817824,0.1310615989515072,0.1310615989515072
Miles McBride,NYK,BOS,L,25.85,8,10,0.8,4,5,0.8,2,3,0.667,0,0,0,2,0,0,1,1,22,17.8,2024-10-22,0,2024-10-22_NYK_vs_BOS,0.851063829787234,0.0,0.07736943907156672
Rui Hachimura,LAL,MIN,W,35.08,7,14,0.5,1,4,0.25,3,4,0.75,3,2,5,1,2,1,0,2,18,15.9,2024-10-22,1,2024-10-22_LAL_vs_MIN,0.5131128848346637,0.14253135689851767,0.028506271379703536
Jaylen Brown,BOS,NYK,W,29.9,7,18,0.389,5,9,0.556,4,4,1.0,2,5,7,1,1,0,1,3,23,15.6,2024-10-22,1,2024-10-22_BOS_vs_NYK,0.7692307692307693,0.23411371237458195,0.033444816053511704
Rudy Gobert,MIN,LAL,L,35.33,5,8,0.625,0,0,0.0,3,4,0.75,3,11,14,2,0,1,1,4,13,13.9,2024-10-22,0,2024-10-22_MIN_vs_LAL,0.3679592414378715,0.39626379847155396,0.05660911406736485
Julius Randle,MIN,LAL,L,34.32,5,10,0.5,1,3,0.333,5,7,0.714,3,6,9,4,0,0,2,3,16,13.7,2024-10-22,0,2024-10-22_MIN_vs_LAL,0.4662004662004662,0.26223776223776224,0.11655011655011654
Al Horford,BOS,NYK,W,26.08,4,7,0.571,3,5,0.6,0,0,0.0,0,3,3,5,1,1,0,2,11,13.0,2024-10-22,1,2024-10-22_BOS_vs_NYK,0.4217791411042945,0.11503067484662577,0.19171779141104295
Jalen Brunson,NYK,BOS,L,24.5,9,14,0.643,1,2,0.5,3,3,1.0,0,1,1,2,0,0,4,3,22,12.3,2024-10-22,0,2024-10-22_NYK_vs_BOS,0.8979591836734694,0.04081632653061224,0.08163265306122448
Anthony Edwards,MIN,LAL,L,41.07,10,25,0.4,5,13,0.385,2,3,0.667,0,6,6,3,0,0,4,3,27,11.8,2024-10-22,0,2024-10-22_MIN_vs_LAL,0.6574141709276844,0.14609203798392986,0.07304601899196493
Karl-Anthony Towns,NYK,BOS,L,23.62,5,9,0.556,1,2,0.5,1,1,1.0,0,7,7,3,0,0,0,1,12,11.5,2024-10-22,0,2024-10-22_NYK_vs_BOS,0.5080440304826418,0.29635901778154106,0.12701100762066045
Austin Reaves,LAL,MIN,W,36.03,6,14,0.429,0,5,0.0,0,1,0.0,4,5,9,4,1,1,0,4,12,11.4,2024-10-22,1,2024-10-22_LAL_vs_MIN,0.33305578684429643,0.2497918401332223,0.11101859561476547
Josh Hart,NYK,BOS,L,24.5,4,6,0.667,0,2,0.0,4,6,0.667,1,3,4,3,0,0,1,0,12,11.3,2024-10-22,0,2024-10-22_NYK_vs_BOS,0.4897959183673469,0.16326530612244897,0.12244897959183673
Nickeil Alexander-Walker,MIN,LAL,L,28.37,5,7,0.714,3,4,0.75,1,2,0.5,2,3,5,0,0,0,2,0,14,11.0,2024-10-22,0,2024-10-22_MIN_vs_LAL,0.49347902714134645,0.17624250969333802,0.0
LeBron James,LAL,MIN,W,34.65,7,16,0.438,1,4,0.25,1,1,1.0,0,5,5,4,0,2,2,3,16,10.1,2024-10-22,1,2024-10-22_LAL_vs_MIN,0.46176046176046176,0.14430014430014432,0.11544011544011544
Jaxson Hayes,LAL,MIN,W,15.33,4,5,0.8,0,0,0.0,2,2,1.0,3,1,4,0,0,1,0,3,10,10.0,2024-10-22,1,2024-10-22_LAL_vs_MIN,0.6523157208088715,0.2609262883235486,0.0
Mikal Bridges,NYK,BOS,L,34.62,7,13,0.538,2,7,0.286,0,1,0.0,0,0,0,2,0,0,1,0,16,9.7,2024-10-22,0,2024-10-22_NYK_vs_BOS,0.4621606008087811,0.0,0.057770075101097634
Cameron Payne,NYK,BOS,L,20.72,5,10,0.5,1,4,0.25,0,0,0.0,1,2,3,4,1,0,1,3,11,8.9,2024-10-22,0,2024-10-22_NYK_vs_BOS,0.5308880308880309,0.1447876447876448,0.19305019305019305
Naz Reid,MIN,LAL,L,26.35,3,8,0.375,2,4,0.5,4,4,1.0,1,3,4,1,0,0,1,3,12,7.7,2024-10-22,0,2024-10-22_MIN_vs_LAL,0.45540796963946867,0.15180265654648956,0.03795066413662239
Jericho Sims,NYK,BOS,L,24.38,2,3,0.667,0,0,0.0,0,0,0.0,3,6,9,1,0,2,1,0,4,7.7,2024-10-22,0,2024-10-22_NYK_vs_BOS,0.16406890894175555,0.36915504511895,0.04101722723543889
Luke Kornet,BOS,NYK,W,19.32,2,3,0.667,0,0,0.0,0,0,0.0,2,1,3,1,1,1,0,0,4,6.8,2024-10-22,1,2024-10-22_BOS_vs_NYK,0.20703933747412007,0.15527950310559005,0.05175983436853002
Sam Hauser,BOS,NYK,W,24.17,4,10,0.4,2,7,0.286,0,0,0.0,1,4,5,1,0,0,0,2,10,6.4,2024-10-22,1,2024-10-22_BOS_vs_NYK,0.41373603640877116,0.20686801820438558,0.04137360364087712
Donte DiVincenzo,MIN,LAL,L,31.55,3,11,0.273,2,8,0.25,2,4,0.5,1,2,3,3,2,0,1,2,10,6.3,2024-10-22,0,2024-10-22_MIN_vs_LAL,0.31695721077654515,0.09508716323296355,0.09508716323296355
D'Angelo Russell,LAL,MIN,W,34.22,4,12,0.333,1,7,0.143,0,0,0.0,0,1,1,5,2,0,1,2,9,6.2,2024-10-22,1,2024-10-22_LAL_vs_MIN,0.2630040911747516,0.029222676797194622,0.14611338398597312
Dalton Knecht,LAL,MIN,W,15.78,2,4,0.5,1,3,0.333,0,0,0.0,0,1,1,2,1,0,1,1,5,4.3,2024-10-22,1,2024-10-22_LAL_vs_MIN,0.31685678073510776,0.06337135614702155,0.1267427122940431
OG Anunoby,NYK,BOS,L,34.17,1,7,0.143,0,4,0.0,2,2,1.0,0,5,5,3,1,0,0,3,4,2.9,2024-10-22,0,2024-10-22_NYK_vs_BOS,0.11706175007316359,0.1463271875914545,0.08779631255487269
Xavier Tillman,BOS,NYK,W,17.7,1,6,0.167,0,3,0.0,0,0,0.0,3,4,7,2,0,0,0,1,2,2.5,2024-10-22,1,2024-10-22_BOS_vs_NYK,0.11299435028248588,0.3954802259887006,0.11299435028248588
Ariel Hukporti,NYK,BOS,L,6.08,0,0,0.0,0,0,0.0,0,0,0.0,0,4,4,0,0,1,0,0,0,1.9,2024-10-22,0,2024-10-22_NYK_vs_BOS,0.0,0.6578947368421053,0.0
Mike Conley,MIN,LAL,L,20.22,1,7,0.143,0,5,0.0,3,3,1.0,2,2,4,2,1,0,3,1,5,1.5,2024-10-22,0,2024-10-22_MIN_vs_LAL,0.24727992087042533,0.19782393669634027,0.09891196834817013
Pacome Dadiet,NYK,BOS,L,13.38,1,3,0.333,1,2,0.5,0,0,0.0,0,1,1,0,0,0,0,1,3,1.2,2024-10-22,0,2024-10-22_NYK_vs_BOS,0.22421524663677128,0.07473841554559042,0.0
Jaden McDaniels,MIN,LAL,L,16.0,3,8,0.375,0,3,0.0,0,0,0.0,0,2,2,1,1,0,1,5,6,0.9,2024-10-22,0,2024-10-22_MIN_vs_LAL,0.375,0.125,0.0625
Gabe Vincent,LAL,MIN,W,17.22,1,2,0.5,0,0,0.0,0,0,0.0,0,2,2,2,0,0,2,1,2,0.6,2024-10-22,1,2024-10-22_LAL_vs_MIN,0.11614401858304298,0.11614401858304298,0.11614401858304298
Tyler Kolek,NYK,BOS,L,5.4,1,2,0.5,1,1,1.0,0,0,0.0,0,0,0,0,0,0,2,0,3,0.0,2024-10-22,0,2024-10-22_NYK_vs_BOS,0.5555555555555555,0.0,0.0
Jordan Walsh,BOS,NYK,W,6.08,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0.0,2024-10-22,1,2024-10-22_BOS_vs_NYK,0.0,0.0,0.16447368421052633
Joe Ingles,MIN,LAL,L,6.8,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,1,0,-0.4,2024-10-22,0,2024-10-22_MIN_vs_LAL,0.0,0.0,0.14705882352941177
Neemias Queta,BOS,NYK,W,4.33,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-0.4,2024-10-22,1,2024-10-22_BOS_vs_NYK,0.0,0.0,0.0
Bronny James,LAL,MIN,W,2.68,0,2,0.0,0,1,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,-0.7,2024-10-22,1,2024-10-22_LAL_vs_MIN,0.0,0.3731343283582089,0.0
Jacob Toppin,NYK,BOS,L,2.78,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.7,2024-10-22,0,2024-10-22_NYK_vs_BOS,0.0,0.0,0.0
Payton Pritchard,BOS,NYK,W,24.97,1,10,0.1,1,9,0.111,0,0,0.0,1,3,4,4,0,0,1,2,3,-1.0,2024-10-22,1,2024-10-22_BOS_vs_NYK,0.12014417300760914,0.16019223067681218,0.16019223067681218
Max Christie,LAL,MIN,W,11.42,0,3,0.0,0,3,0.0,2,2,1.0,1,1,2,0,0,0,0,5,2,-1.1,2024-10-22,1,2024-10-22_LAL_vs_MIN,0.17513134851138354,0.17513134851138354,0.0
LaMelo Ball,CHO,HOU,W,37.92,10,20,0.5,4,12,0.333,10,10,1.0,1,7,8,11,1,1,2,3,34,33.0,2024-10-23,1,2024-10-23_CHO_vs_HOU,0.8966244725738396,0.21097046413502107,0.290084388185654
Lauri Markkanen,UTA,MEM,L,34.57,9,15,0.6,4,7,0.571,13,14,0.929,1,8,9,2,0,0,2,2,35,29.4,2024-10-23,0,2024-10-23_UTA_vs_MEM,1.01243853051779,0.26034133641886026,0.05785363031530229
